CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,CodigoInvente,EjerceControl,DenominacionSocial,FechaAlta,Adscripcion_Codigo,Adscripcion_Descripcion,Observaciones,CodigoOrigen,CodigoDIR3,CausaDeAlta_Codigo,CausaDeAlta_Descripcion,FormaJuridica_Codigo,FormaJuridica_Descripcion,RegimenContable_Codigo,RegimenContable_Descripcion,RegimenControl_Codigo,RegimenControl_Descripcion,RegimenPresupuestario_Codigo,RegimenPresupuestario_Descripcion,ClasificacionCN_Codigo,ClasificacionCN_Descripcion,CondicionMedioPropio,ClasificacionEntidad,Direccion,Localidad,Provincia_Codigo,Provincia_Descripcion,CodigoPostal,Telefono,SitioWeb,eMail,Denominacion,Codigo,PorcentajeParticipacion,PorcentajeVoto,Actividad_Situacion_Codigo,Actividad_Situacion_Descripcion,Actividad_Sector_Codigo,Actividad_Sector_Descripcion,ObjetoSocial,Codigo,Denominacion,Venta_Bienes_DentroSP_Administracion,Venta_Bienes_Dentro_SP_Otras,Venta_Bienes_DentroSP_EntidadesSPI,Venta_Bienes_SectorPrivado,Transf_Subvenciones_Administracion,Transf_Subvenciones_Otras,Transf_Subvenciones_SPI,Transf_Subvenciones_UnionEuropea,Otros_Ingresos,Denominacion,FuenteAlta,InformacionFuenteAlta,AltaDesde,FechaVersion,Disponible,FechaBaja,???
INV00000024,Actuacions Ambientals Integrals S.L.,12,Sociedad mercantil ,B98231434,,1746131AP005,INV00000024,Ayuntamiento de Gandia,Actuacions Ambientals Integrals S.L.,2010-03-01T00:00:00,1746131AA000,Ayuntamiento de Gandia,soporte documental ESCRITURA 01.03.2010,1746131AP005,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,12,Unidad pendiente de clasificación,,,"C/ Les Carmelitas, 2, 1ª Planta                                                                    ",Gandia                                                                                                                                                                                                                                                    ,46,Valencia/València,46701,962959400,www.actuacionsambientalsintegrals.es                                                                                                                                                                                                                      ,actuacions@actuacionsambientalsintegrals.es                                                                                                                                                                                                               ,Ayuntamiento de Gandia,1746131AA000,51,51,1,Con actividad económica,2,Empresarial,Servicio de alcantarillado.,E3700,Recogida y tratamiento de aguas residuales,Principal,Secundaria,Secundaria,Secundaria,,,,,,Actuacions Ambientals Integrals S.L.,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00005479,ADE Financiación Capital Semilla FCR,5,Fondo sin personalidad jurídica,V47635974,,,INV00005479,Comunidad Autónoma de Castilla y León,ADE Financiación Capital Semilla FCR,2008-11-28T00:00:00,7,Castilla y León,,,,2,Incorporación al SPI,5,Fondo sin personalidad jurídica,2,Privado,3,Auditoría de cuentas,2,Estimativo,2,S.1312 Administraciones Públicas: Administración Regional,,,", s/n",                                                                                                                                                                                                                                                          ,47,Valladolid,     ,                         ,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Comunidad Autónoma de Castilla y León,0700000BB000,0,0,1,Con actividad económica,2,Empresarial,,,ADE Financiación Capital Semilla FCR,,,,,,,,,,,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00004797,"Adelsa, Sociedad Anónima Municipal de Desarrollo",12,Sociedad mercantil ,A96719653,,1746111AP001,INV00004797,Ayuntamiento de Chiva,"Adelsa, Sociedad Anónima Municipal de Desarrollo",1998-01-20T00:00:00,1746111AA000,Ayuntamiento de Chiva,soporte documental - ,1746111AP001,,2,Incorporación al SPI,12,Sociedad mercantil ,0,,3,Auditoría de cuentas,2,Estimativo,12,Unidad pendiente de clasificación,,,"Plaza De Gil Escartí, s/n                                                                             ",Chiva                                                                                                                                                                                                                                                     ,46,Valencia/València,46370,                         ,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Ayuntamiento de Chiva,1746111AA000,100,100,1,Con actividad económica,2,Empresarial,,O841,Administración Pública y de la política económica y social,,,,,,,,,,"Adelsa, Sociedad Anónima Municipal de Desarrollo",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00005486,"Adiante 2000, Fondo de Capital Riesgo en liquidación",5,Fondo sin personalidad jurídica,V15695539,,1100000BP029,INV00005486,Comunidad Autónoma de Galicia,"Adiante 2000, Fondo de Capital Riesgo en liquidación",1999-05-04T00:00:00,11,Galicia,,1100000BP029,,2,Incorporación al SPI,5,Fondo sin personalidad jurídica,2,Privado,3,Auditoría de cuentas,2,Estimativo,2,S.1312 Administraciones Públicas: Administración Regional,,,"Rúa Ourense, 6                                                                               ",Santiago de Compostela                                                                                                                                                                                                                                    ,15,"Coruña, A",15701,981541621,www.xesgalicia.es                                                                                                                                                                                                                                         ,xesgalicia@xesgalicia.org                                                                                                                                                                                                                                 ,Instituto Gallego de Promoción Económica,INV00003714,100,100,3,En liquidación,2,Empresarial,"Fondo orientado a empresas constituidas y viables, que necesiten apoyo para salvar o evitar una posible dificultad temporal.",K6499,"Otros servicios financieros, excepto seguros y fondos de pensiones n.c.o.p.",,,,Principal,,,,,,"Adiante 2000, Fondo de Capital Riesgo",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000026,ADIF-Alta Velocidad,4,Entidad pública empresarial,Q2802152E,EA0008223,1548NF,INV00000026,Administración Central,ADIF-Alta Velocidad,2013-12-31T00:00:00,22,"Ministerio de Transportes, Movilidad y Agenda Urbana","La Entidad Pública Empresarial ADIF-Alta Velocidad se crea el 31 de diciembre de 2013, tras la aprobación del Real Decreto-ley 15/2013 sobre la reestructuración de la Entidad Pública Empresarial Administrador de Infraestructuras Ferroviarias (ADIF) y otras medidas urgentes en el orden económico.&#xD;
&#xD;
ADIF- Alta Velocidad se crea mediante la escisión de la rama de actividad de construcción y administración de las infraestructuras ferroviarias de alta velocidad de ADIF y otras que se le atribuyan y estén encomendadas hasta la fecha de entrada en vigor de dicho Real Decreto-ley, permaneciendo en ADIF la actividad de construcción y administración de las infraestructuras ferroviarias de la red convencional.&#xD;
&#xD;
A raíz de la entrada en vigor del mencionado Real Decreto-ley 15/2013, el 27 de diciembre se publica la Orden PRE/2443/2013, del Ministerio de la Presidencia, por la que se determinan los activos y pasivos de ADIF que pasan a ser titularidad de ADIF-Alta Velocidad. El artículo 2 del Real Decreto-ley 15/2013 y la Orden PRE/2443/2013 regulan la asignación a ADIF-Alta Velocidad de determinados bienes que constituían la Red de Titularidad del Estado, que fueron asignados a ADIF tras la entrada en vigor del Real Decreto-ley 4/2013, de 22 de febrero.",NF1548,EA0008223,1,De nueva creación. Disposición legal o reglamentaria,4,Entidad pública empresarial,2,Privado,2,Control financiero permanente; Auditoría de cuentas,2,Estimativo,5,S.11001 Sociedades no financieras Públicas: Administración Central,No,Grupo 1,"C/ Hiedra, 9, Estación de Chamartín Edificio 23                                            ",Madrid                                                                                                                                                                                                                                                    ,28,Madrid,28036,91-767 44 63             ,www.adifaltavelocidad.es                                                                                                                                                                                                                                  ,dgfc@adif.es                                                                                                                                                                                                                                              ,"Administración General del Estado (AGE):Ministerio de Transportes, Movilidad y Agencia Urbana",AG0,100,100,1,Con actividad económica,2,Empresarial,"Con arreglo a lo dispuesto en el artículo 1 del RD Ley 15/2013 de 13 de diciembre, con fecha de 31 de diciembre de 2013 se crea la E.P.E. Adif Alta Velocidad mediante la escisión de la rama de construcción y administración de las infraestructuras ferroviarias de alta velocidad y otras que se le atribuyan y estén encomendadas hasta esa fecha a la entidad pública empresarial ADIF. A partir de su fecha de creación, ADIF AV asume las funciones asignadas al administrador de infraestructuras ferroviarias en la ley 39/2003, de 17 de noviembre, del sector ferroviario, y en sus normas de desarrollo en relación con las infraestructuras cuya titularidad le haya sido atribuida, asi como con las que se le atribuyan en un futuro.",H522,Actividades anexas al transporte,,,Principal,Secundaria,Secundaria,,,Secundaria,Secundaria,ADIF-Alta Velocidad,"BOE núm. 299, de 14/12/2013","Art. 1  Real Decreto-ley 15/2013, de 13 de diciembre, sobre reestructuración de la entidad pública empresarial ""Administrador de Infraestructuras Ferroviarias"" (ADIF) y otras medidas urgentes en el orden económico.",31/12/2013,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000028,Administrador de Infraestructuras Ferroviarias,4,Entidad pública empresarial,Q2801660H,EA0003338,1461NF,INV00000028,Administración Central,Administrador de Infraestructuras Ferroviarias,2005-01-01T00:00:00,22,"Ministerio de Transportes, Movilidad y Agenda Urbana","La entidad pública empresarial Administrador de Infraestructuras Ferroviarias (ADIF) fue creada por la Ley de Bases de 24 de enero de 1941, bajo la denominación de Red Nacional de los Ferrocarriles Españoles (RENFE).&#xD;
Con fecha 31 de diciembre de 2004 entró en vigor la Ley 39/2003, de 17 de noviembre, del Sector Ferroviario, que establece un nuevo marco para este sector y una completa reordenación del sector ferroviario estatal, sentando las bases que permiten una progresiva entrada de nuevos actores en este mercado. Para alcanzar estos objetivos, se reguló la administración de las infraestructuras ferroviarias y se encomendó esta función a RENFE, que pasaba a denominarse Administrador de Infraestructuras Ferroviarias, manteniendo su naturaleza jurídica de entidad pública empresarial e integrando, además, a la Entidad Pública Empresarial Gestor de Infraestructuras Ferroviarias. ADIF podía, según la citada ley, construir infraestructuras, de acuerdo con lo que determinase el Ministerio de Fomento, infraestructuras ferroviarias con cargo a sus propios recursos o mediante recursos ajenos. Asimismo, administraría las infraestructuras de su titularidad y aquellas otras cuya administración se le encomendase mediante un convenio. La Ley contemplaba, adicionalmente, la creación de una nueva entidad pública empresarial denominada RENFE Operadora, que se encargaría de la prestación del servicio de transporte ferroviario.&#xD;
El Real Decreto-ley 22/2012 de 20 de julio, por el que se adoptan medidas para la racionalización y reestructuración del sector ferroviario, incluye la extinción de la entidad pública empresarial Ferrocarriles Españoles de Vía Estrecha el 31 de diciembre de 2012, subrogándose ADIF y RENFE-Operadora en los derechos y obligaciones de aquélla, asumiendo la titularidad de los bienes en función de que se hallen adscritos a la infraestructura o a la operación de servicios de transporte respectivamente.&#xD;
El Real Decreto-ley 4/2013, de 22 de febrero, establece en su artículo 34 la transmisión a ADIF de la titularidad de la red ferroviaria del Estado cuya administración tiene encomendada.&#xD;
El Real Decreto-ley 15/2013 de 13 de diciembre, sobre la reestructuración de la entidad pública empresarial Administrador de Infraestructuras Ferroviarias (ADIF) y otras medidas urgentes en el orden económico determina en su artículo 1 que con fecha 31 de diciembre de 2013, se creará la entidad pública empresarial ADIF-Alta Velocidad mediante la escisión de la rama de actividad de construcción y administración de aquellas infraestructuras ferroviarias de alta velocidad y otras que se le atribuyan y estén encomendadas hasta la fecha de entrada en vigor de dicho Real Decreto-Ley al Administrador de Infraestructuras Ferroviarias (ADIF). La actividad no segregada permanece en ADIF.&#xD;
El Estatuto de ADIF fue aprobado mediante el Real Decreto 2395/2004, de 30 de diciembre, y ha modificado por el Real Decreto 1044/2013 de 27 de diciembre.",NF1461,EA0003338,1,De nueva creación. Disposición legal o reglamentaria,4,Entidad pública empresarial,2,Privado,2,Control financiero permanente; Auditoría de cuentas,2,Estimativo,1,S.1311 Administraciones Públicas: Administración Central,No,Grupo 1,"C/ Hiedra, 9, Edificio 23                                                                  ",Madrid                                                                                                                                                                                                                                                    ,28,Madrid,28036,917744125,www.adif.es                                                                                                                                                                                                                                        ,dgfc@adif.es                                                                                                                                                                                                                                              ,"Administración General del Estado (AGE):Ministerio de Transportes, Movilidad y Agencia Urbana",AG0,100,100,1,Con actividad económica,2,Empresarial,Administración y gestión de la red ferroviaria,F421,"Construcción de carreteras y vías férreas, puentes y túneles",,,Principal,Secundaria,Secundaria,,,Secundaria,Secundaria,Red Nacional de Ferrocarriles Españoles,"BOE núm. 28, de 28/01/1941","Recoge la adaptación a la Ley 6/1997, de 14 de abril",28/01/1941,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000027,"Administradora de la Marca y Denominación del artículo de piel de Ubrique, S.A.",12,Sociedad mercantil ,A11037793,,0111038AP002,INV00000027,Ayuntamiento de Ubrique,"Administradora de la Marca y Denominación del artículo de piel de Ubrique, S.A.",1984-04-03T00:00:00,0111038AA000,Ayuntamiento de Ubrique,soporte documental ESCRITURA 03.04.1984,0111038AP002,,2,Incorporación al SPI,12,Sociedad mercantil ,0,,3,Auditoría de cuentas,2,Estimativo,3,S.1313 Administraciones Públicas: Administración Local,,,"C/ Manuel de Falla, 4                                                                               ",Ubrique                                                                                                                                                                                                                                                   ,11,Cádiz,11600,                         ,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Ayuntamiento de Ubrique,0111038AA000,51,0,1,Con actividad económica,2,Empresarial,,M7022,Otras actividades de consultoría de gestión empresarial,,,,,,,,,,"Administradora de la Marca y Denominación del artículo de piel de Ubrique, S.A.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000029,ADR-NORORMA,11,Otra institución sin ánimo de lucro,G29759834,,0100068NN000,INV00000029,Ayuntamiento de Archidona,ADR-NORORMA,1995-05-16T00:00:00,0,Varias administraciones públicas,soporte documental ESTATUTOS 16.05.1995,,,2,Incorporación al SPI,11,Otra institución sin ánimo de lucro,0,,0,,3,No aplicable,12,Unidad pendiente de clasificación,,,"C/ Santo Domingo, 49                                                                              ",Archidona                                                                                                                                                                                                                                                 ,29,Málaga,29300,                         ,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Ayuntamiento de Archidona,0129017AA000,0,0,1,Con actividad económica,3,Fundacional,,O841,Administración Pública y de la política económica y social,,,,,,,,,,ADR-NORORMA,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000030,"Aena Desarrollo Internacional S.M.E., S.A. ",12,Sociedad mercantil ,A37250883,EA0008225,668  NF,INV00000030,Administración Central,"Aena Desarrollo Internacional S.M.E., S.A. ",1992-12-31T00:00:00,22,"Ministerio de Transportes, Movilidad y Agenda Urbana","La Sociedad tiene su origen en la constitución, con fecha 13 de noviembre de 1991, de la sociedad Empresa de Mantenimiento Aeronáutico, S.A. Con fecha 16 de septiembre de 1999, se procede al cambio de denominación social a Emaer, Empresa Internacional de Infraestructuras, Mantenimiento y Servicios Aeronáuticos, S.A., manteniéndose el nombre comercial. Posteriormente, con fecha 25 de septiembre se procede al cambio de denominación social al de Aena Servicios Aeronáuticos, S.A., y con fecha 6 de julio de 2000, se inscribe en el Registro Mercantil un cambio de denominación social a Aena Desarrollo Internacional, S.A. y al actual nombre, Aena Desarrollo Internacional, S.M.E., S.A. con fecha 5 de septiembre de 2017, para adaptarse a lo establecido en el artículo 111.2 de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público.&#xD;
Su actividad principal consiste en el desarrollo de la actividad internacional del Grupo Aena, al que pertenece la sociedad, a través de inversiones en sociedades domiciliadas fuera de España. Asimismo, la sociedad desarrolla actividades de servicio de verificación en vuelo de radioayudas a la navegación aérea y procedimientos de vuelo.&#xD;
Anea Desarrollo Internacional S.M.E., S.A. es dominante de un grupo de sociedades de acuerdo con la legislación vigente, si bien, está integrada en el Grupo AENA, cuya sociedad dominante es Aena.",NF668  ,EA0008225,2,Incorporación al SPI. Incremento o toma de participación pública mayoritaria,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,5,S.11001 Sociedades no financieras Públicas: Administración Central,No,Grupo 3,"C/ Peonías, 12                                                                              ",Madrid                                                                                                                                                                                                                                                    ,28,Madrid,28042,913212950,www.aena.es                                                                                                                                                                                                                                        ,aenainternacional@aena.es                                                                                                                                                                                                                                 ,"Aena, S.M.E., S.A.",INV00000032,100,100,1,Con actividad económica,2,Empresarial,"- Explotación, conservación, gestión y administración de infraestructuras aeroportuarias, así como los servicios complementarios a las mismas y los de asistencia a aeronaves, pasajeros, carga aérea y tripulaciones.&#xD;
- Planificación y elaboración de proyectos, dirección y control de ejecución de obras para infraestructuras e instalaciones aeroportuarias y de navegación aérea.&#xD;
- Construcción, ampliación, remodelación y equipamiento de infraestructuras aeroportuarias.&#xD;
- Realización de estudios, asesorías, ingenierías, consultorías, elaboración y evaluación de proyectos relacionados directamente con el negocio aeronáutico, aeroportuario y de navegación aérea.&#xD;
- Todas las demás actividades anejas y complementarias o relacionadas con las anteriores y en especial las referidas a las areas comerciales aeroportuarias.&#xD;
- También podrá realizar actividades de mantenimiento de aeronaves, equipos de aviónica y demás elementos.&#xD;
El objeto social podrá realizarse por la sociedad, directamente o indirectamente, participando en el capital de otras sociedades o entidades en el ámbito nacional e internacional. Asimismo y para la consecución del objeto social podrá promover y participar en cuantas formas de colaboración empresarial resulten admitidos en derecho.&#xD;
",H522,Actividades anexas al transporte,,,Secundaria,Secundaria,,,,,Principal,"Empresa de Mantenimiento Aeronaútico, S.A.",Registro Mercantil,Constitución,16/01/1992,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000031,"Aena Sociedad Concesionaria del Aeropuerto Internacional de la Región de Murcia, S.M.E., S.A.",12,Sociedad mercantil ,A73988313,,1567NF,INV00000031,Administración Central,"Aena Sociedad Concesionaria del Aeropuerto Internacional de la Región de Murcia, S.M.E., S.A.",2018-01-31T00:00:00,22,"Ministerio de Transportes, Movilidad y Agenda Urbana",,NF1567,,1,De nueva creación. Constitución en el año,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,5,S.11001 Sociedades no financieras Públicas: Administración Central,No,Grupo 3,"Avda. de España, 101                                                                             ",Valladolises y Lo Jurado                                                                                                                                                                                                                                  ,30,Murcia,30154,966919649,                                                                                                                                                                                                                                                          ,mmenor@aena.es                                                                                                                                                                                                                                            ,"Aena, S.M.E., S.A.",INV00000032,100,100,1,Con actividad económica,2,Empresarial,"Gestión, explotación, mantenimiento y conservación del Aeropuerto Internacional de la Región de Murcia en virtud de contrato concesional de fecha 24 de febrero de 2018.",H522,Actividades anexas al transporte,,,,Principal,,,,,,"Aena Sociedad Concesionaria del Aeropuerto Internacional de la Región de Murcia, S.M.E., S.A.",Consejo de Ministros  12 de Abril de 2019,"Constitución de la sociedad concesionaria titular del contrato de gestión, explotación, mantenimiento y conservación del Aeropuerto Internacional de la Región de Murcia.",31/01/2018,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000032,"Aena, S.M.E., S.A.",12,Sociedad mercantil ,A86212420,EA0008224,1528NF,INV00000032,Administración Central,"Aena, S.M.E., S.A.",2011-06-02T00:00:00,22,"Ministerio de Transportes, Movilidad y Agenda Urbana","El Consejo de Ministros de 25 de febrero de 2011, autorizó la creación de la sociedad mercantil estatal Aena Aeropuertos, S.A.&#xD;
Tal y como estaba previsto en el Real Decreto Ley 13/2010, a la nueva sociedad se le atribuye el conjunto de funciones y obligaciones que estaba ejerciendo la entidad pública empresarial Aena en materia de gestión y explotación de los servicios aeroportuarios. &#xD;
Por Acuerdo de Consejo de Ministros de 3 de junio de 2011, se autorizó la aportación de los bienes integrantes del patrimonio aeroportuario de la entidad pública empresarial Aeropuertos Españoles y Navegación Aérea (AENA) a la sociedad estatal «Aena Aeropuertos, S.A.», y se acordó la ampliación de su capital, en los términos que resultan del Acuerdo del Consejo de Administración de AENA de 23 de mayo de 2011.&#xD;
Por Orden FOM/1525/2011, de 7 de junio, se acuerda el inicio del ejercicio efectivo de funciones y obligaciones en materia de gestión aeroportuaria por «Aena Aeropuertos, S.A.». Según establece su artículo 1.1 la sociedad mercantil estatal «Aena Aeropuertos, S.A.», comenzará a ejercer de manera efectiva su objeto social con efectos 8 de junio de 2011, fecha a partir de la cual la entidad pública empresarial Aeropuertos Españoles y Navegación Aérea (AENA) dejará de realizar la actividad de gestión aeroportuaria.&#xD;
Conforme a lo dispuesto en la Orden HAP/583/2012, de 20 de marzo, por la que se publica el ACM de 16 de marzo de 2012, por el que se aprueba el Plan de reestructuración y racionalización del sector público empresarial y fundacional, se lleva a cabo la fusión por absorción de Centros Logísticos Aeroportuarios, SA (CLASA) (sociedad absorbida) por parte de la Aena Aeropuertos, S.A. (sociedad  absorbente), quedando inscrita en el Registro con fecha 17/12/2012.&#xD;
Con entrada en vigor el 6/7/2014, el Real Decreto-ley 8/2014, de 4 de julio, de aprobación de medidas urgentes para el crecimiento, la competitividad y la eficiencia,en su artículo 18 establece el siguiente cambio de denominación:&#xD;
1. La sociedad mercantil estatal «Aena Aeropuertos, S.A.», creada en virtud de lo previsto en el artículo 7 del Real Decreto-ley 13/2010, de 3 de diciembre, de actuaciones en el ámbito fiscal, laboral y liberalizadoras para fomentar la inversión y la creación de empleo, pasa a denominarse Aena, S.A.&#xD;
2. La entidad pública empresarial Aeropuertos Españoles y Navegación Aérea (Aena), creada por el artículo 82 de la Ley 4/1990, de 29 de junio, de Presupuestos Generales del Estado para 1990, pasa a denominarse ENAIRE.&#xD;
ENAIRE continuará existiendo con la misma naturaleza y régimen jurídico previsto en el artículo 82 de la Ley 4/1990, de 29 de junio, y ejerciendo exclusivamente las competencias que actualmente ostenta en materia de navegación aérea y espacio aéreo y, además, la coordinación operativa nacional e internacional de la red nacional de gestión del tráfico aéreo y otras relacionadas con los usos para la gestión eficiente del espacio aéreo teniendo en cuenta las necesidades de los usuarios, y las funciones derivadas de su condición de medio propio instrumental y servicio técnico de la Administración General del Estado y de los poderes adjudicadores en materia de aeropuertos.&#xD;
Cambio en la denominación social con fecha 26/05/2017, según lo dispuesto en el artículo 111.2 de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, añadiendo a su denominación la abreviatura ""S.M.E."".",NF1528,EA0008224,1,De nueva creación. Constitución en el año,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,5,S.11001 Sociedades no financieras Públicas: Administración Central,No,Grupo 1,"C/ Peonías, 12                                                                              ",Madrid                                                                                                                                                                                                                                                    ,28,Madrid,28042,913211560,www.aena.es                                                                                                                                                                                                                                        ,secpresidencia@aena.es                                                                                                                                                                                                                                    ,ENAIRE E.P.E.,INV00002044,51,51,1,Con actividad económica,2,Empresarial,"Explotación, conservación, administración  y gestión de aeropuertos y gestión de las zonas civiles de las bases aéreas abiertas al tráfico civil y de los aeropuertos de utilización conjunta, etc.",H522,Actividades anexas al transporte,Secundaria,Secundaria,Secundaria,Principal,,,,Secundaria,,"Aena Aeropuertos, S.A.",Registro Mercantil,Autorización ACM 25/2/2011. Escritura de constitución ,6/2/2011,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000033,"Aeroportos do Nordeste do Brasil, S.A.",12,Sociedad mercantil ,,,1573NF,INV00000033,Administración Central,"Aeroportos do Nordeste do Brasil, S.A.",2019-06-13T00:00:00,22,"Ministerio de Transportes, Movilidad y Agenda Urbana","Empresa concesionaria que recepcionará los aeropuertos del Nordeste de Brasil tras ganar Aena Desarrollo Internacional SME SA la licitación.
",NF1573,,1,De nueva creación. Constitución en el año,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,11,S.2 Resto del Mundo: Unidad no residente,No,,"C/ Rua Barao de Souza Leao, 425 (Sala 1901 Edificio Pontes Corporate Center)                                ","Boa Viagem, Recife, Pernambuco, Brasil                                                                                                                                                                                                                    ",99,En el exterior,51.030-300,                         ,                                                                                                                                                                                                                                                          ,secpresidencia@aena.es                                                                                                                                                                                                                                    ,"Aena Desarrollo Internacional S.M.E., S.A.",INV00000030,100,100,1,Con actividad económica,2,Empresarial,"Ampliación, mantenimiento y explotación de seis aeropuertos en Brasil, en virtud del contrato de concesión 001/ANAC/2019-Nordeste, suscrito con la Agencia Nacional de Aviación Civil de Brasil.",H522,Actividades anexas al transporte,,,,Principal,,,,,,"Aeroportos do Nordeste do Brasil, S.A.",Consejo de Ministros  29 de diciembre de 2018,Constitución de la sociedad.,13/06/2019,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000034,"Aeroports Públics de Catalunya, SL",12,Sociedad mercantil ,B64748627,,0900000BP048,INV00000034,Comunidad Autónoma de Cataluña,"Aeroports Públics de Catalunya, SL",2008-02-21T00:00:00,9,Cataluña,soporte documental ESCRITURA nº5022 de 21/12/2007 (RM 21/02/2008),0900000BP048,,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,2,S.1312 Administraciones Públicas: Administración Regional,,,"Avda. Litoral, 36-40                                                                           ",Barcelona                                                                                                                                                                                                                                                 ,8,Barcelona,8039,933278368,www.aeroports.cat                                                                                                                                                                                                                                         ,info@aeroports.cat                                                                                                                                                                                                                                        ,Comunidad Autónoma de Cataluña,0900000BB000,100,100,1,Con actividad económica,2,Empresarial,"La creación, la ampliación o la modificación de todo tipo de infraestr. aeroport. de titularidad de la sdad. o de la G.C. y promoc.econ. y turística.",H5223,Actividades anexas al transporte aéreo,,,,,,,,,,Agencias de publicidad,Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000035,"Aeropuerto de Castellón, S.L.",12,Sociedad mercantil ,B12606018,A10025283,1700000BP024,INV00000035,Comunidad Autónoma Valenciana,"Aeropuerto de Castellón, S.L.",2003-03-11T00:00:00,17,Comunitat Valenciana,soporte documental ESCRITURA const. nº 236 de 21/01/2003 (R.M.11/03/2003),1700000BP024,A10025283,2,Incorporación al SPI,12,Sociedad mercantil ,2,Privado,3,Auditoría de cuentas,2,Estimativo,2,S.1312 Administraciones Públicas: Administración Regional,,,"Ctra. CV-13, Km 2,4                                                                          ",Benlloch                                                                                                                                                                                                                                                  ,12,Castellón/Castelló,12181,964239018,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,Diputación Prov. de Castellón,1712000DD000,1,50,1,Con actividad económica,2,Empresarial,"Construcción, desarrollo, gestión y explotación de infraestructuras aeroportuarias o de servicios relacionados con el transporte aéreo de personas",H51,Transporte aéreo,,,,,,Principal,,,,"Aeropuerto de Castellón, S.L.",Carga inicial Registro SPI,Datos provisionales,6/1/2020,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
INV00000038,"AFS Fund S.C.A., SICAV-SIF",5,Fondo sin personalidad jurídica,B175493,,1570NF,INV00000038,Administración Central,"AFS Fund S.C.A., SICAV-SIF",2016-01-01T00:00:00,31,Ministerio de Hacienda y Función Pública,"El Fondo dependiente del Grupo Cesce, es un fondo de inversión especializado registrado en Luxemburgo.&#xD;
El Fondo consta de un Subfondo, cuyo objetivo de inversión es proporcionar un rendimiento atractivo ajustado al riesgo mediante una cartera diversificada de siniestros comerciales de corto plazo. Para lograr su objetivo de inversión, el Subfondo adquirirá, derechos comerciales garantizados denominados en euros de pequeñas y medianas empresas activas en cualquier sector económico y con domicilio social en España.",NF1570,,1,De nueva creación. Constitución en el año,5,Fondo sin personalidad jurídica,2,Privado,3,Auditoría de cuentas,2,Estimativo,11,S.2 Resto del Mundo: Unidad no residente,No,,"C/ 18 Rue Jean Piret L, 18                                                                              ",Luxembourg (Luxembourg)                                                                                                                                                                                                                                   ,99,En el exterior,2350,45123217,                                                                                                                                                                                                                                                          ,Chantal.Valet@cf-fs.lu                                                                                                                                                                                                                                    ,Instituto de Crédito Oficial,INV00003678,"12,98","12,98",1,Con actividad económica,2,Empresarial,Fondo de inversión especializado,K662,Actividades auxiliares a seguros y fondos de pensiones,,,,,,,,,Principal,"AFS Fund S.C.A., SICAV-SIF",Cuentas  anuales Cesce 2016,Constitución,1/1/2016,2020-06-01T00:00:00,TRUE,0001-01-01T00:00:00,
